day_count_0_25,day_count_0_5,day_count_0_75,day_count_1_0,day_count_2_0,day_count_3_0,day_count_4_0,pop_count_0_25,pop_count_0_5,pop_count_0_75,pop_count_1_0,pop_count_2_0,pop_count_3_0,pop_count_4_0,burger_0_25,burger_0_5,burger_0_75,burger_1_0,burger_2_0,burger_3_0,burger_4_0,other_0_25,other_0_5,other_0_75,other_1_0,other_2_0,other_3_0,other_4_0,pizza_0_25,pizza_0_5,pizza_0_75,pizza_1_0,pizza_2_0,pizza_3_0,pizza_4_0,org_retail_visits_0_25,org_retail_visits_0_5,org_retail_visits_0_75,org_retail_visits_1_0,org_retail_visits_2_0,org_retail_visits_3_0,org_retail_visits_4_0,unorg_retail_visits_0_25,unorg_retail_visits_0_5,unorg_retail_visits_0_75,unorg_retail_visits_1_0,unorg_retail_visits_2_0,unorg_retail_visits_3_0,unorg_retail_visits_4_0,High_0_25,High_0_5,High_0_75,High_1_0,High_2_0,High_3_0,High_4_0,Medium_0_25,Medium_0_5,Medium_0_75,Medium_1_0,Medium_2_0,Medium_3_0,Medium_4_0,Low_0_25,Low_0_5,Low_0_75,Low_1_0,Low_2_0,Low_3_0,Low_4_0,density_lvl_0_25,density_lvl_0_5,density_lvl_0_75,density_lvl_1_0,density_lvl_2_0,density_lvl_3_0,density_lvl_4_0,road_cnt_0_25,road_cnt_0_5,road_cnt_0_75,road_cnt_1_0,road_cnt_2_0,road_cnt_3_0,road_cnt_4_0,coffee_shop_0_25,coffee_shop_0_5,coffee_shop_0_75,coffee_shop_1_0,coffee_shop_2_0,coffee_shop_3_0,coffee_shop_4_0,fast_food_restaurant_0_25,fast_food_restaurant_0_5,fast_food_restaurant_0_75,fast_food_restaurant_1_0,fast_food_restaurant_2_0,fast_food_restaurant_3_0,fast_food_restaurant_4_0,ice_cream_shop_0_25,ice_cream_shop_0_5,ice_cream_shop_0_75,ice_cream_shop_1_0,ice_cream_shop_2_0,ice_cream_shop_3_0,ice_cream_shop_4_0,pizza_restaurant_0_25,pizza_restaurant_0_5,pizza_restaurant_0_75,pizza_restaurant_1_0,pizza_restaurant_2_0,pizza_restaurant_3_0,pizza_restaurant_4_0,restaurant_0_25,restaurant_0_5,restaurant_0_75,restaurant_1_0,restaurant_2_0,restaurant_3_0,restaurant_4_0,size,concept_type,city,region,target
66,615,1694,3081,10838,22102,37757,65,535,1575,2943,10634,22269,37217,2,4,4,4,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8600,15050,15050,15050,15050,15050,33195,0,5676,9237,9237,17900,77146,274361,0,0,0,0,11,89,183,5,20,54,101,360,671,844,0,0,0,0,0,0,112,2.055555556,2.222222222,2.31097561,2.34137931,2.134651601,2.142585551,2.036211699,27,147,300,480,1327,2682,4709,1,1,1,1,1,1,4,1,3,3,3,3,3,7,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,204,FSDT,other,tabuk_province,9505438.6
243,636,1183,1701,8716,19723,31270,246,664,1248,1879,9948,20915,32901,2,2,2,2,3,17,24,1,1,1,1,2,4,4,0,0,0,0,2,3,5,0,0,0,0,359500,3687808,3898465,0,0,0,0,29194,75994,135662,0,0,0,0,25,131,546,0,0,5,22,162,385,428,0,0,0,0,0,0,0,3.055555556,3.364864865,3.982142857,3.422297297,2.962014134,2.859627832,2.720891231,38,120,303,569,2913,6556,10301,0,0,0,1,1,2,5,0,0,0,0,1,7,13,0,0,0,0,0,7,8,0,0,0,0,2,5,9,2,2,2,2,6,12,14,105.8,FC,other,eastern_province,1875149.421
589,2453,4998,7599,27541,65181,127827,480,2269,4852,7404,27752,66052,129530,3,5,5,5,7,14,22,0,0,0,0,1,1,1,1,2,2,2,3,7,9,156101,161739,161739,173658,191881,881793,998132,6568,15475,26721,35994,140173,312770,939917,0,0,0,0,0,0,2,0,0,0,2,67,203,394,9,32,75,126,432,809,1174,4.055555556,3.342857143,3.132911392,3.25,3.18794964,3.238912134,3.336923848,73,271,498,926,3513,7724,13049,0,1,1,2,3,4,6,0,0,0,0,1,3,9,1,1,1,1,2,4,8,1,3,3,3,4,9,14,3,3,3,4,6,9,12,82.56,FC,dammam,eastern_province,2629237.145
423,1932,3170,4954,18704,41348,72414,463,1840,3198,4833,19305,43360,74900,3,4,5,5,11,15,29,0,0,0,0,3,5,6,0,0,0,0,3,3,5,68888,116514,550237,886131,1745625,1829559,1880923,1736,3472,3472,13258,72319,284345,412955,0,0,0,0,8,112,287,5,21,44,77,288,610,953,0,0,0,0,0,0,0,3.9375,2.947368421,2.553571429,2.702054795,2.998054475,2.875943396,2.833514986,40,185,410,703,2372,4967,9269,0,1,2,2,5,9,13,2,2,3,3,7,9,15,0,0,0,0,2,5,6,0,0,0,0,3,4,6,0,1,1,1,3,4,9,824.5,FSDT,riyadh,riyadh_region,7746199.895
462,1191,1792,3025,11702,18304,27948,424,1155,1737,2884,11638,18424,28709,1,1,1,2,6,6,9,0,0,0,0,1,1,1,0,0,0,0,2,2,2,0,18472,45497,65161,93704,355117,1884475,29422,44742,66098,178992,373717,414017,454705,5,20,42,75,291,450,536,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4.375,3.578947368,2.9375,2.693181818,2.737831858,2.493333333,2.402317881,61,179,302,448,1581,2583,3694,0,0,0,0,0,1,2,0,0,0,0,4,4,6,0,0,0,1,1,2,4,0,0,0,0,3,3,3,1,1,1,1,1,1,3,312.09,FSDT,makkah,makkah_region,5784115.396
474,1736,4626,8339,21808,42842,56989,414,1997,5134,9043,22119,43133,57672,0,4,5,8,9,16,16,0,0,0,0,0,1,1,0,0,2,2,6,6,6,0,0,0,0,8580,8580,8580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.181818182,2.328571429,2.392857143,2.386986301,2.333333333,2.217410714,1.945915493,102,308,736,1264,3338,5806,7426,0,0,0,0,1,1,1,0,3,4,5,5,10,10,0,1,1,1,2,2,2,0,0,2,2,6,6,6,0,2,2,4,5,6,6,879.27,FSDT,riyadh,riyadh_region,3704910.07
591,1030,2131,4621,22986,51504,87668,356,693,1784,4127,22365,50541,86503,2,2,2,3,6,17,26,0,0,0,0,1,1,1,0,0,0,2,3,6,10,393684,984210,1049824,1090570,1132184,1205376,1284551,0,0,0,0,152699,398054,659474,0,0,0,0,0,0,5,0,1,14,38,260,613,954,8,31,65,105,293,551,1026,2.6875,2.414285714,2.220238095,2.326666667,2.421186441,2.513736264,2.617163184,31,216,485,839,3188,6577,11425,1,1,1,1,3,5,7,0,0,0,1,2,8,13,1,1,1,1,1,5,8,0,0,0,2,3,6,11,1,1,1,2,3,12,22,331.78,FC,dammam,eastern_province,9254700.477
967,3072,7367,14681,65176,146314,254011,722,2711,6989,14536,66990,148226,258417,5,5,6,8,15,35,55,0,0,0,0,0,4,7,0,0,0,1,3,9,15,533781,593090,593090,593090,593090,1586100,2886094,0,0,32355,65290,265777,965591,1278794,0,0,0,0,0,0,161,9,37,82,142,471,932,1370,0,0,0,0,79,324,706,4.166666667,4.608108108,4.62195122,4.60915493,4.824912892,4.92007722,4.778377212,121,411,857,1430,6020,13546,23197,0,0,0,0,0,0,1,2,2,2,3,7,21,36,0,0,0,0,3,10,13,0,0,0,1,4,12,19,2,2,2,3,7,9,19,72.6,FC,jeddah,makkah_region,3990062.31
428,2961,6640,14243,44751,63590,83557,318,2979,6645,14420,45161,64829,85403,5,7,9,9,12,15,15,0,1,1,1,1,1,1,1,2,3,3,3,4,4,59888,262803,282715,300828,375230,458081,458108,38825,134507,228338,626224,1811108,1979359,2079504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,3.013157895,3.238095238,3.496478873,3.219486081,2.804849885,2.647693452,79,368,829,1227,3163,4553,5710,0,0,0,0,0,2,2,2,2,4,4,7,9,9,0,1,2,2,2,4,4,1,2,3,3,3,4,4,4,5,6,6,7,10,10,356.292,ILDT,other,eastern_province,4561244.609
433,650,1354,2193,7260,25936,55187,269,483,1147,1961,6870,26609,56107,4,4,4,4,5,11,18,0,0,0,0,0,0,2,0,0,0,0,0,1,3,405135,945315,945315,957547,960605,960605,966903,0,0,7444,13112,28285,110172,222373,9,27,43,59,129,145,185,0,1,8,26,201,599,1194,0,2,10,23,115,367,603,1.444444444,1.833333333,1.712121212,1.966942149,2.140295359,2.131105398,2.227576336,60,149,245,448,1580,4407,8399,0,0,0,0,0,0,0,3,3,3,3,4,9,11,1,1,1,1,2,3,5,0,0,0,0,0,1,6,1,1,1,1,1,4,6,43.408,FC,madina,medina_province,2727076.098
177,434,1224,2290,6052,14150,27868,161,489,1258,2270,6118,14164,28095,0,1,2,2,2,3,4,0,0,0,0,0,0,0,1,1,1,1,1,2,2,56298,58940,60551,60779,60893,63434,82280,21220,23762,44107,47813,60375,93969,249923,0,0,0,0,0,0,0,7,18,42,74,239,423,606,2,8,17,27,172,367,614,1.777777778,1.923076923,1.983606557,1.90952381,1.630023641,1.496515679,1.55511811,45,83,158,262,849,1740,3475,2,2,2,2,2,2,3,0,0,1,1,1,2,4,1,1,1,1,1,2,2,2,2,2,2,2,3,5,0,0,0,0,0,1,5,380.245,FSDT,other,medina_province,4390028.086
1224,2842,3196,3473,4361,6467,7190,1597,3978,4454,4819,6048,8705,9548,1,4,4,4,4,5,5,0,0,1,2,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.666666667,3.384615385,2.746666667,2.563063063,1.641196013,1.495967742,1.310321716,26,111,160,227,404,645,849,0,0,0,0,0,0,1,1,3,3,4,4,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,3,212.706,FC,riyadh,riyadh_region,18684908.2
133,365,851,1772,14003,35546,67473,147,411,969,1977,13153,35367,68231,0,0,0,0,3,3,20,0,1,1,1,2,2,4,0,0,0,0,1,1,5,0,0,0,0,53990,124968,353750,0,0,0,0,79368,84804,248250,0,0,0,0,127,532,1047,9,34,68,118,346,577,1031,0,0,0,0,0,0,0,1.888888889,1.882352941,2.051470588,2.533898305,2.777663934,2.740105541,2.767688679,24,81,161,348,1919,4751,9314,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,2,3,8,0,0,0,0,2,2,7,137.78,FC,riyadh,riyadh_region,2739299.487
